[15/08/2024][18:29:21]  | -system start log[15/08/2024][18:31:51]  | -system Read 0 ranking entries in 0.0 seconds.
[15/08/2024][18:31:51]  | -system -Write Ranking[15/08/2024][18:31:51]  | -system -Write Ranking[15/08/2024][18:34:21]  | -system Read 1 ranking entries in 0.0 seconds.
[15/08/2024][18:34:21]  | -system -Write Ranking[15/08/2024][18:34:21]  | -system -Write Ranking[15/08/2024][18:36:51]  | -system Read 1 ranking entries in 0.0 seconds.
[15/08/2024][18:36:51]  | -system -Write Ranking[15/08/2024][18:36:51]  | -system -Write Ranking[15/08/2024][18:39:21]  | -system Read 1 ranking entries in 0.0 seconds.
[15/08/2024][18:39:21]  | -system -Write Ranking[15/08/2024][18:39:21]  | -system -Write Ranking[15/08/2024][18:41:51]  | -system Read 1 ranking entries in 0.16 seconds.
[15/08/2024][18:41:51]  | -system -Write Ranking[15/08/2024][18:41:51]  | -system -Write Ranking[15/08/2024][18:44:22]  | -system Read 1 ranking entries in 0.0 seconds.
[15/08/2024][18:44:22]  | -system -Write Ranking[15/08/2024][18:44:22]  | -system -Write Ranking[15/08/2024][18:46:52]  | -system Read 1 ranking entries in 0.0 seconds.
[15/08/2024][18:46:52]  | -system -Write Ranking[15/08/2024][18:46:52]  | -system -Write Ranking[15/08/2024][18:49:22]  | -system Read 1 ranking entries in 0.0 seconds.
[15/08/2024][18:49:22]  | -system -Write Ranking[15/08/2024][18:49:22]  | -system -Write Ranking[15/08/2024][18:51:52]  | -system Read 1 ranking entries in 0.0 seconds.
[15/08/2024][18:51:52]  | -system -Write Ranking[15/08/2024][18:51:52]  | -system -Write Ranking[15/08/2024][18:54:22]  | -system Read 1 ranking entries in 0.0 seconds.
[15/08/2024][18:54:22]  | -system -Write Ranking[15/08/2024][18:54:22]  | -system -Write Ranking[15/08/2024][18:56:52]  | -system Read 1 ranking entries in 0.0 seconds.
[15/08/2024][18:56:52]  | -system -Write Ranking[15/08/2024][18:56:52]  | -system -Write Ranking[15/08/2024][18:59:22]  | -system Read 1 ranking entries in 0.0 seconds.
[15/08/2024][18:59:22]  | -system -Write Ranking[15/08/2024][18:59:22]  | -system -Write Ranking[15/08/2024][19:01:52]  | -system Read 1 ranking entries in 0.0 seconds.
[15/08/2024][19:01:52]  | -system -Write Ranking[15/08/2024][19:01:52]  | -system -Write Ranking[15/08/2024][19:04:23]  | -system Read 1 ranking entries in 0.0 seconds.
